accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5,0.53759765625,2.102130174636841,0.5,0.9765625,0.051779936999082565,0.43323376774787903,5.242580413818359,0.051779936999082565,1.0
0.52734375,0.61065673828125,1.3937429189682007,0.5144032835960388,0.9765625,0.051779936999082565,0.4692832827568054,2.3142220973968506,0.051779936999082565,1.0
0.5,0.7578125,0.9860018491744995,0.5,0.9921875,0.051779936999082565,0.47130975127220154,2.717763900756836,0.051779936999082565,1.0
0.578125,0.8929443359375,0.6520393490791321,0.5423728823661804,1.0,0.268608421087265,0.46555033326148987,1.0637083053588867,0.047413792461156845,0.6875
0.640625,0.978607177734375,0.4941309690475464,0.581818163394928,1.0,0.29449838399887085,0.4997866749763489,1.2614374160766602,0.05309734493494034,0.75
0.7421875,0.982452392578125,0.4298722445964813,0.6614583134651184,0.9921875,0.647249162197113,0.5197311639785767,0.7504795789718628,0.04854368790984154,0.3125
0.8671875,0.992523193359375,0.2654836177825928,0.790123462677002,1.0,0.6148867607116699,0.529970109462738,0.8547396063804626,0.044247787445783615,0.3125
0.90625,0.996124267578125,0.2140095829963684,0.8421052694320679,1.0,0.7961165308952332,0.5325298309326172,0.5352922677993774,0.056603774428367615,0.1875
0.9140625,0.99609375,0.19946078956127167,0.8533333539962769,1.0,0.6569579243659973,0.5438352823257446,0.8639195561408997,0.05000000074505806,0.3125
0.8984375,0.9923095703125,0.23168392479419708,0.8355262875556946,0.9921875,0.8576051592826843,0.5197312831878662,0.43844062089920044,0.03333333507180214,0.0625
