accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0.5,0.53759765625,2.1021361351013184,0.5,0.9765625,0.051779936999082565,0.43323376774787903,5.242644786834717,0.051779936999082565,1.0
0.52734375,0.61065673828125,1.3937608003616333,0.5144032835960388,0.9765625,0.051779936999082565,0.46917665004730225,2.314289093017578,0.051779936999082565,1.0
0.5,0.757781982421875,0.986078143119812,0.5,0.9921875,0.051779936999082565,0.4714164137840271,2.718729019165039,0.051779936999082565,1.0
0.578125,0.893280029296875,0.6521892547607422,0.5423728823661804,1.0,0.268608421087265,0.4644837975502014,1.063844084739685,0.047413792461156845,0.6875
0.640625,0.9786376953125,0.49440160393714905,0.581818163394928,1.0,0.29449838399887085,0.5003199577331543,1.263220191001892,0.05309734493494034,0.75
0.7421875,0.982177734375,0.42973047494888306,0.6614583134651184,0.9921875,0.6504854559898376,0.5201578736305237,0.7494029998779297,0.04901960864663124,0.3125
0.8671875,0.99237060546875,0.26546216011047363,0.790123462677002,1.0,0.6148867607116699,0.528903603553772,0.8544347286224365,0.044247787445783615,0.3125
0.90625,0.99609375,0.21414177119731903,0.8421052694320679,1.0,0.7961165308952332,0.5332764387130737,0.5362410545349121,0.056603774428367615,0.1875
0.9140625,0.99615478515625,0.19944104552268982,0.8533333539962769,1.0,0.6569579243659973,0.544475257396698,0.8618432879447937,0.05000000074505806,0.3125
0.8984375,0.992340087890625,0.23142702877521515,0.8355262875556946,0.9921875,0.8543689250946045,0.5203711986541748,0.4386026859283447,0.032258063554763794,0.0625
