accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,fase
0.4921875,0.499786376953125,1.470937967300415,0.4959999918937683,0.96875,0.051779936999082565,0.5,4.663786888122559,0.051779936999082565,1.0,1
0.5,0.45574951171875,1.3388811349868774,0.5,1.0,0.051779936999082565,0.5364761352539062,4.004531383514404,0.051779936999082565,1.0,1
0.5,0.527587890625,1.1201198101043701,0.5,1.0,0.051779936999082565,0.6595563292503357,2.620185375213623,0.051779936999082565,1.0,1
0.5,0.502197265625,1.1244555711746216,0.5,1.0,0.051779936999082565,0.6184940934181213,2.569786787033081,0.051779936999082565,1.0,1
0.5,0.540924072265625,1.0723570585250854,0.5,1.0,0.051779936999082565,0.6583831310272217,3.088742256164551,0.051779936999082565,1.0,1
0.5,0.537200927734375,1.0722126960754395,0.5,1.0,0.051779936999082565,0.6222269535064697,2.9265267848968506,0.051779936999082565,1.0,1
0.5,0.59423828125,1.0418381690979004,0.5,1.0,0.051779936999082565,0.6640357971191406,2.718656063079834,0.051779936999082565,1.0,1
0.5,0.555633544921875,1.0394951105117798,0.5,1.0,0.051779936999082565,0.674168050289154,2.6583797931671143,0.051779936999082565,1.0,1
0.5,0.624267578125,1.013428807258606,0.5,1.0,0.051779936999082565,0.6603029370307922,2.729837417602539,0.051779936999082565,1.0,1
0.5,0.48095703125,1.109984040260315,0.5,1.0,0.051779936999082565,0.6308660507202148,2.6180083751678467,0.051779936999082565,1.0,2
0.5,0.5767822265625,1.0539894104003906,0.5,1.0,0.051779936999082565,0.60825514793396,2.6640005111694336,0.051779936999082565,1.0,2
0.5,0.530242919921875,1.0604524612426758,0.5,1.0,0.051779936999082565,0.6470776200294495,2.6979820728302,0.051779936999082565,1.0,2
0.5,0.492828369140625,1.1084775924682617,0.5,1.0,0.051779936999082565,0.5932167768478394,2.725677013397217,0.051779936999082565,1.0,2
0.5,0.569549560546875,1.0508219003677368,0.5,1.0,0.051779936999082565,0.6388651728630066,2.7440998554229736,0.051779936999082565,1.0,2
0.5,0.57904052734375,1.0478026866912842,0.5,1.0,0.051779936999082565,0.64174485206604,2.737311840057373,0.051779936999082565,1.0,2
