accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,fase
0.5008077621459961,0.49678823351860046,0.7572108507156372,0.050243113189935684,0.4920634925365448,0.051779936999082565,0.75362628698349,0.9326251149177551,0.051779936999082565,1.0,1
0.5274636745452881,0.535027027130127,0.716992199420929,0.056876059621572495,0.5317460298538208,0.5728155374526978,0.747546911239624,0.6958988308906555,0.09154929220676422,0.8125,1
0.6369143724441528,0.6069841384887695,0.6755929589271545,0.07480747997760773,0.5396825671195984,0.051779936999082565,0.7410409450531006,0.8806834816932678,0.051779936999082565,1.0,1
0.496768981218338,0.5592418313026428,0.6923169493675232,0.0555555559694767,0.5555555820465088,0.9482200741767883,0.7445605993270874,0.5140961408615112,0.0,0.0,1
0.5864297151565552,0.5865400433540344,0.6791035532951355,0.06576402485370636,0.5396825671195984,0.5275080800056458,0.7477602958679199,0.7044591307640076,0.08860759437084198,0.875,1
0.5508885383605957,0.6395981311798096,0.6666613221168518,0.07352941483259201,0.6746031641960144,0.8867313861846924,0.7478668689727783,0.6017308235168457,0.14814814925193787,0.25,1
0.6336833834648132,0.6425413489341736,0.6591107845306396,0.07692307978868484,0.5634920597076416,0.051779936999082565,0.755652666091919,0.8743022680282593,0.051779936999082565,1.0,1
0.5884491205215454,0.6013964414596558,0.6755315065383911,0.06608357280492783,0.5396825671195984,0.36245954036712646,0.752346396446228,0.7398251295089722,0.07109005004167557,0.9375,1
0.6474151611328125,0.6792553067207336,0.6487021446228027,0.08361203968524933,0.5952380895614624,0.051779936999082565,0.7565059661865234,0.9684236645698547,0.051779936999082565,1.0,1
0.875201940536499,0.6149071455001831,0.685634970664978,0.11063829809427261,0.2063492089509964,0.8996763825416565,0.7478668689727783,0.6183106303215027,0.17391304671764374,0.25,2
0.6833602786064148,0.6466025114059448,0.6668111681938171,0.0771208256483078,0.4761904776096344,0.783171534538269,0.7370947003364563,0.6507627964019775,0.11940298229455948,0.5,2
0.6619547605514526,0.6417359113693237,0.6679800748825073,0.08028335124254227,0.5396825671195984,0.7184466123580933,0.7535196542739868,0.6675955057144165,0.10989011079072952,0.625,2
0.6106623411178589,0.6742502450942993,0.6552217602729797,0.07931727170944214,0.6269841194152832,0.7313916087150574,0.7514931559562683,0.6581317186355591,0.1149425283074379,0.625,2
0.7120355367660522,0.6875076293945312,0.6536519527435303,0.09849521517753601,0.5714285969734192,0.6893203854560852,0.7526664137840271,0.6668310165405273,0.10000000149011612,0.625,2
0.6429725289344788,0.6590087413787842,0.6599321961402893,0.07795099914073944,0.5555555820465088,0.7216828465461731,0.7450938820838928,0.6541860103607178,0.1111111119389534,0.625,2
